                                                                    title                                                                    |                                                        override_title                                                        |                                                                                                                                                  basis                                                                                                                                                   |                                                                                                                    conclusion                                                                                                                     |       source        |                                ref                                | category 
---------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+-------------------------------------------------------------------+----------
 승강로 전 구간 카 간 칸막이 설치                                                                                                            |                                                                                                                              | [별표 1,2,5] 5.6.2.                                                                                                                                                                                                                                                                                     +| ‣ 카 지붕 모서리(카 위 작업자 공간 등)에서 인접 카의 움직이는 부품*까지의 거리가 0.5m 미만인 경우 전 구간 칸막이 설치                                                                                                                            +| 2016년 제1차 표준화 | [별표 1,2,5] 5.6.2.                                               | 승강로
                                                                                                                                             |                                                                                                                              | ‘카 간 칸막이 설치’                                                                                                                                                                                                                                                                                     +| * 카, 균형추 돌출부(로프, 레일 등 전구간 설치부품 제외)                                                                                                                                                                                           |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 5.6.2.2                                                                                                                                                                                                                                                                                                 +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『칸막이는 카 지붕의 모서리와 인접한 엘리베이터의 움직이는 부품....사이의 수평거리가 0.5 m 미만인 경우에는 승강로 전체 높이까지 설치되어야 한다.』                                                                                                                                                       |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 피트 사다리 봉 모양 및 마감 처리                                                                                                            |                                                                                                                              | [별표 1,2,5] 5.7.3.2 나)                                                                                                                                                                                                                                                                                +| ‣ 피트 사다리는 봉* 모양으로 안전한 사용을 위하여 봉 끝부분은 마감 처리                                                                                                                                                                          +| 2016년 제1차 표준화 | [별표 1,2,5] 5.7.3.2 나)                                          | 피트
                                                                                                                                             |                                                                                                                              | 피트 사다리 설치                                                                                                                                                                                                                                                                                        +|   * 봉은 원형, 각형 모두 가능                                                                                                                                                                                                                     |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | [부속서 ⅩⅣ.3.1 피트 사다리의 손잡이 나) 손잡이는 봉 모양이어야 한다.]                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 승강로 조명 50 lx 이상 확보 위치                                                                                                            |                                                                                                                              | [별표 1,2] 5.9                                                                                                                                                                                                                                                                                          +| ‣ 카 지붕, 피트 바닥위 1 m 위치에서 조도 측정                                                                                                                                                                                                     | 2016년 제1차 표준화 | [별표 1,2] 5.9                                                    | 승강로
                                                                                                                                             |                                                                                                                              | 승강로 조명                                                                                                                                                                                                                                                                                             +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『승강로에는...카 지붕 및 피트 바닥 위로 1 m 위치에서 조도 50 lx 이상의...전기조명이 있어야 한다.』                                                                                                                                                                                                      |                                                                                                                                                                                                                                                   |                     |                                                                   | 
